polarity,word
-1,انتبهوا
-1,ماعدا
-1,تكدس
-1,هزيل
-1,جاف
-1,اتمني
-1,التكيف
-1,مايرحم
-1,حر
-1,ياريت
-1,صيانه
-1,دايخه
-1,حرارة
-1,حراره
-1,"سوء"
-1,ماامداني
-1,حياه
-1,خلق
-1,حيل
-1,الشعيب
-1,سلق 
-1,اقل 
-1,هلكانه
-1,مالها 
-1,ادب
-1,ماتقدرون
-1,تشجير
-1,انصدمت
-1,نجمه
-1,لايرقي
-1,توجع
-1,واحده
-1,"الأخطاء"
-1,مااستغلت
-1,مشكلته
-1,مشكله
-1,مشاكل
-1,مافي  
-1,"الانتهاء"
-1,مايستاهل 
-1,جريئ
-1,جريئين
-1,تقفل
-1,موعارف 
-1,موعارفه
-1,مظلات
-1,ورفضوا
-1,قليله
-1,قليل
-1,يسوي
-1,استغرب
-1,استغربت
-1,غريبه
-1,ماودك
-1,منفسة
-1,شديد
-1,عزابي
-1,غريب
-1,مكررة
-1,خطر
-1,جاهل
-1,متعب
-1,مهو
-1,اسعارهم
-1,أسعاره 
-1,لكن
-1,مافية
-1,هيصه
-1,إعادة
-1,توهقت
-1,"اسوء"
-1,تكرار
-1,طفران
-1,طفرانه
-1,نكديه
-1,نكد
-1,اوفر
-1,بدون 
-1,بعيد
-1,مقفل
-1,العيب
-1,اقل
-1,المراهقين
-1,انتبه
-1,مغلق
-1,ممنوع
-1,خسارة 
-1,غلط
-1,يهمل
-1,مسكر
-1,فلوس
-1,مختزل
-1,ياخذون
-1,بفوقيه
-1,تعبوا
-1,ماعرفوا
-1,ضياع
-1,سحبو
-1,تقليد
-1,ذبحونا
-1,تفقدك
-1,ماتبيها
-1,ميت
-1,يرقم
-1,رقص
-1,أغاني
-1,"لا حياء"
-1,الفاضي
-1,لاتقدر
-1,الاختلاط
-1,التبرج
-1,المال
-1,للوقت
-1,خربوا
-1,ماشفت 
-1,مكرر
-1,لاتراعي
-1,تضرب
-1,ولا فيه
-1,لدحديره
-1,استهتار
-1,"حياء"
-1,ماعاد
-1,"حياء"
-1,زعلوني
-1,العزف
-1,مشابهه
-1,مايصلح
-1,الوحيده
-1,مايرتاح
-1,ضيقه
-1,النجمتين
-1,يعيق
-1,اضطريت
-1,الحسنه 
-1,خيبه
-1,نتمنى
-1,تحت
-1,مكافحه
-1,ليسوا
-1,خاب
-1,مو
-1,غلط
-1,ماقدرت
-1,موب
-1,افا
-1,عقدتك
-1,بلا
-1,خذلت
-1,خسر
-1,لا يعمل
-1,اشتكيت
-1,العفن
-1,بصعوبه
-1,جافه
-1, استسيغ
-1,معاد
-1,مفروض
